rate,2023,2022,2021,2020,2019,2018,2017,2016
"small profits rate (companies with profits under £50,000)",19%,—,—,—,—,—,—,—
"main rate (companies with profits over £250,000)",25%,—,—,—,—,—,—,—
main rate (all profits except ring fence profits),—,19%,19%,19%,19%,19%,19%,20%
marginal relief lower limit,"£50,000",—,—,—,—,—,—,—
marginal relief upper limit,"£250,000",—,—,—,—,—,—,—
standard fraction,3/200,—,—,—,—,—,—,—
special rate for unit trusts and open-ended investment companies,20%,20%,20%,20%,20%,20%,20%,20%
